timestamp,frame,tracker_id,speed_kmh
1756456051.6161356,106,9,514.243
1756456051.6161356,106,11,14.642
1756456051.6161356,106,12,19.185
1756456051.9481666,107,2,94.021
1756456051.9481666,107,8,59.547
1756456051.9481666,107,9,495.478
1756456051.9481666,107,11,14.030
1756456051.9481666,107,12,18.788
1756456052.3491158,108,2,91.674
1756456052.3491158,108,8,61.204
1756456052.3491158,108,9,474.716
1756456052.3491158,108,11,13.272
1756456052.3491158,108,12,18.075
1756456052.6668797,109,2,90.618
1756456052.6668797,109,8,62.767
1756456052.6668797,109,9,455.840
1756456052.6668797,109,11,14.851
1756456052.6668797,109,12,18.278
1756456053.076269,110,2,88.166
1756456053.076269,110,8,63.014
1756456053.076269,110,9,432.789
1756456053.076269,110,11,13.458
1756456053.076269,110,12,18.216
1756456053.467137,111,2,87.000
1756456053.467137,111,8,62.841
1756456053.467137,111,9,416.657
1756456053.467137,111,11,12.830
1756456053.467137,111,12,17.960
1756456053.8428843,112,2,84.336
1756456053.8428843,112,8,65.255
1756456053.8428843,112,9,403.783
1756456053.8428843,112,11,13.454
1756456053.8428843,112,12,18.840
1756456054.2283568,113,2,83.389
1756456054.2283568,113,8,64.821
1756456054.2283568,113,9,392.499
1756456054.2283568,113,11,14.675
1756456054.2283568,113,12,19.531
1756456054.5666711,114,2,81.535
1756456054.5666711,114,8,64.923
1756456054.5666711,114,9,375.576
1756456054.5666711,114,11,14.111
1756456054.5666711,114,12,20.352
1756456054.8973274,115,2,80.145
1756456054.8973274,115,8,66.252
1756456054.8973274,115,9,359.701
1756456054.8973274,115,11,15.104
1756456055.322642,116,2,78.253
1756456055.322642,116,8,67.212
1756456055.322642,116,9,345.879
1756456055.322642,116,11,15.085
1756456055.7677586,117,2,76.177
1756456055.7677586,117,8,67.974
1756456055.7677586,117,9,335.882
1756456055.7677586,117,11,16.982
1756456056.111013,118,2,75.222
1756456056.111013,118,8,68.420
1756456056.111013,118,9,325.238
1756456056.111013,118,11,17.784
1756456056.5211053,119,2,74.536
1756456056.5211053,119,8,68.198
1756456056.5211053,119,9,314.220
1756456056.5211053,119,11,17.779
1756456056.8494382,120,2,73.967
1756456056.8494382,120,8,69.447
1756456056.8494382,120,9,302.650
1756456056.8494382,120,11,18.248
1756456056.8494382,120,12,27.334
1756456057.274924,121,2,71.940
1756456057.274924,121,8,71.576
1756456057.274924,121,9,291.317
1756456057.274924,121,11,18.638
1756456057.274924,121,12,27.653
1756456057.6751025,122,2,71.009
1756456057.6751025,122,8,71.864
1756456057.6751025,122,9,284.797
1756456057.6751025,122,11,18.166
1756456057.676099,122,12,27.554
1756456058.0099995,123,2,69.658
1756456058.0099995,123,8,74.087
1756456058.0099995,123,9,275.005
1756456058.0099995,123,11,18.604
1756456058.0099995,123,12,27.165
1756456058.3753972,124,2,68.223
1756456058.3753972,124,8,74.308
1756456058.3753972,124,9,267.729
1756456058.3753972,124,11,18.296
1756456058.3753972,124,12,27.387
1756456058.7213154,125,2,67.823
1756456058.7213154,125,8,75.658
1756456058.7213154,125,9,260.368
1756456058.7213154,125,11,18.423
1756456058.7213154,125,12,27.788
1756456059.0692415,126,2,67.139
1756456059.0692415,126,8,76.844
1756456059.0692415,126,9,252.444
1756456059.0692415,126,11,19.177
1756456059.0692415,126,12,28.407
1756456059.4582264,127,2,66.144
1756456059.4582264,127,8,76.392
1756456059.4582264,127,9,245.053
1756456059.4582264,127,11,19.505
1756456059.4582264,127,12,28.024
1756456059.8618484,128,2,66.485
1756456059.8618484,128,8,77.509
1756456059.8618484,128,9,240.739
1756456059.8618484,128,11,19.570
1756456059.8618484,128,12,28.720
1756456060.2076492,129,2,63.713
1756456060.2076492,129,8,78.173
1756456060.2076492,129,9,233.539
1756456060.2076492,129,11,19.601
1756456060.2076492,129,12,28.446
1756456060.5458326,130,2,62.572
1756456060.5458326,130,8,78.763
1756456060.5458326,130,9,225.988
1756456060.5458326,130,11,19.109
1756456060.5458326,130,12,28.087
1756456060.9169397,131,2,62.236
1756456060.9169397,131,8,82.246
1756456060.9169397,131,9,216.424
1756456060.9169397,131,11,18.962
1756456060.9169397,131,12,27.332
1756456061.313504,132,2,61.164
1756456061.313504,132,8,84.131
1756456061.313504,132,9,210.113
1756456061.313504,132,11,18.724
1756456061.313504,132,12,26.853
1756456061.697407,133,2,60.905
1756456061.697407,133,8,84.197
1756456061.697407,133,9,206.223
1756456061.697407,133,11,15.938
1756456061.697407,133,12,26.494
1756456062.0603752,134,2,59.719
1756456062.0603752,134,8,85.222
1756456062.0603752,134,9,203.449
1756456062.0603752,134,11,16.525
1756456062.0603752,134,12,26.433
1756456062.4284725,135,2,58.685
1756456062.4284725,135,8,88.851
1756456062.4284725,135,9,198.022
1756456062.4284725,135,11,18.011
1756456062.4284725,135,12,26.550
1756456062.77521,136,2,58.756
1756456062.77521,136,8,88.853
1756456062.77521,136,9,194.539
1756456062.7762017,136,11,18.309
1756456062.7762017,136,12,27.963
1756456063.1423151,137,2,56.962
1756456063.1423151,137,8,92.790
1756456063.1423151,137,9,187.147
1756456063.1423151,137,11,18.067
1756456063.1423151,137,12,29.428
1756456063.526164,138,2,55.371
1756456063.526164,138,8,94.558
1756456063.526164,138,9,183.576
1756456063.526164,138,11,18.637
1756456063.526164,138,12,28.691
1756456063.8962805,139,2,54.115
1756456063.8962805,139,8,96.156
1756456063.8962805,139,9,180.966
1756456063.8962805,139,11,17.673
1756456063.8962805,139,12,28.859
1756456064.2851448,140,2,54.191
1756456064.2851448,140,8,97.359
1756456064.2851448,140,9,175.360
1756456064.2851448,140,11,17.102
1756456064.2851448,140,12,29.401
1756456064.6363971,141,2,54.098
1756456064.6363971,141,8,98.975
1756456064.6373951,141,9,168.419
1756456064.6373951,141,11,14.431
1756456064.6373951,141,12,28.520
1756456065.005722,142,2,54.205
1756456065.005722,142,8,100.388
1756456065.005722,142,9,165.279
1756456065.005722,142,11,14.196
1756456065.005722,142,12,28.484
1756456065.434864,143,2,53.689
1756456065.434864,143,8,102.183
1756456065.434864,143,9,161.284
1756456065.434864,143,11,16.266
1756456065.434864,143,12,28.392
1756456065.866767,144,2,52.000
1756456065.866767,144,8,105.952
1756456065.866767,144,9,159.397
1756456065.866767,144,11,17.806
1756456065.866767,144,12,22.403
1756456066.2360792,145,2,51.419
1756456066.2360792,145,8,107.131
1756456066.2360792,145,9,158.451
1756456066.2360792,145,11,19.269
1756456066.2360792,145,12,22.725
1756456066.623764,146,2,51.947
1756456066.623764,146,8,111.448
1756456066.623764,146,9,154.095
1756456066.623764,146,11,19.977
1756456066.623764,146,12,23.511
1756456066.936499,147,2,51.073
1756456066.936499,147,8,114.343
1756456066.936499,147,9,147.289
1756456066.936499,147,11,20.823
1756456066.936499,147,12,23.920
1756456067.3490357,148,2,50.002
1756456067.3490357,148,8,117.091
1756456067.3490357,148,9,142.948
1756456067.3490357,148,11,21.024
1756456067.3490357,148,12,23.739
1756456067.6777542,149,2,48.949
1756456067.6777542,149,8,117.973
1756456067.6777542,149,9,138.954
1756456067.6777542,149,11,20.510
1756456067.6777542,149,12,24.265
1756456067.9858313,150,2,48.221
1756456067.9858313,150,8,118.495
1756456067.9858313,150,9,137.215
1756456067.9858313,150,11,19.577
1756456067.9858313,150,12,25.050
1756456068.3549914,151,2,46.935
1756456068.3549914,151,8,121.089
1756456068.3549914,151,9,135.823
1756456068.3549914,151,11,19.229
1756456068.3549914,151,12,25.043
1756456068.7026718,152,2,46.815
1756456068.7026718,152,8,123.784
1756456068.7026718,152,9,132.516
1756456068.7026718,152,11,19.406
1756456068.7026718,152,12,24.964
1756456069.1196964,153,2,47.412
1756456069.1196964,153,8,128.348
1756456069.1196964,153,9,129.972
1756456069.1196964,153,11,19.454
1756456069.1196964,153,12,25.049
1756456069.4822905,154,2,46.444
1756456069.4822905,154,8,130.092
1756456069.4822905,154,9,127.438
1756456069.4822905,154,11,19.985
1756456069.4822905,154,12,26.710
1756456069.8833244,155,2,45.113
1756456069.8833244,155,8,131.559
1756456069.8833244,155,9,125.582
1756456069.8843243,155,11,21.088
1756456069.8843243,155,12,27.632
1756456070.233438,156,2,44.318
1756456070.233438,156,8,130.832
1756456070.233438,156,9,123.320
1756456070.233438,156,11,21.622
1756456070.233438,156,12,27.656
1756456070.6043937,157,2,43.973
1756456070.6043937,157,8,134.429
1756456070.6043937,157,9,119.386
1756456070.6043937,157,11,23.028
1756456070.6043937,157,12,27.801
1756456070.9357927,158,2,44.083
1756456070.9357927,158,8,141.138
1756456070.9357927,158,9,115.442
1756456070.9357927,158,11,22.641
1756456070.9357927,158,12,28.916
1756456071.315497,159,2,43.072
1756456071.315497,159,8,140.758
1756456071.315497,159,9,112.690
1756456071.315497,159,11,22.003
1756456071.315497,159,12,29.472
1756456071.7298586,160,2,42.685
1756456071.7298586,160,8,146.774
1756456071.7298586,160,9,109.676
1756456071.7298586,160,11,22.348
1756456071.7298586,160,12,29.284
1756456072.0986445,161,2,43.163
1756456072.0986445,161,8,147.574
1756456072.0986445,161,9,109.961
1756456072.0986445,161,11,22.480
1756456072.0986445,161,12,28.987
1756456072.471638,162,2,43.911
1756456072.471638,162,8,149.655
1756456072.471638,162,9,107.739
1756456072.471638,162,11,22.511
1756456072.471638,162,12,29.213
1756456072.8389387,163,2,43.393
1756456072.8399386,163,8,150.774
1756456072.8399386,163,9,106.498
1756456072.8399386,163,11,22.627
1756456072.8399386,163,12,29.593
1756456073.2179375,164,2,42.396
1756456073.2179375,164,8,154.094
1756456073.2179375,164,9,105.552
1756456073.2179375,164,11,23.169
1756456073.2179375,164,12,29.251
1756456073.6453955,165,2,41.822
1756456073.6453955,165,8,158.286
1756456073.6453955,165,9,102.959
1756456073.6453955,165,11,23.343
1756456073.6453955,165,12,29.264
1756456074.0888453,166,2,41.360
1756456074.0888453,166,8,162.401
1756456074.0888453,166,9,100.193
1756456074.0888453,166,11,22.965
1756456074.0888453,166,12,29.118
1756456074.472201,167,2,40.197
1756456074.472201,167,8,167.232
1756456074.472201,167,9,97.944
1756456074.472201,167,11,21.877
1756456074.472201,167,12,28.831
1756456074.8360853,168,2,39.543
1756456074.8370848,168,8,170.995
1756456074.8370848,168,9,96.203
1756456074.8370848,168,11,20.778
1756456074.8370848,168,12,28.911
1756456075.264381,169,2,38.660
1756456075.264381,169,8,174.708
1756456075.264381,169,9,94.006
1756456075.264381,169,11,20.566
1756456075.264381,169,12,29.690
1756456075.5774727,170,2,38.384
1756456075.5774727,170,8,179.520
1756456075.5774727,170,9,92.010
1756456075.5774727,170,11,20.914
1756456075.5774727,170,12,29.670
1756456075.9618073,171,2,37.856
1756456075.9618073,171,8,184.211
1756456075.9618073,171,9,92.769
1756456075.9618073,171,11,20.785
1756456075.9618073,171,12,30.203
1756456076.3261144,172,2,37.817
1756456076.3261144,172,8,189.329
1756456076.3261144,172,9,91.621
1756456076.3261144,172,11,20.359
1756456076.3261144,172,12,30.272
1756456076.7189188,173,2,36.758
1756456076.7189188,173,8,197.029
1756456076.7189188,173,9,89.500
1756456076.7189188,173,11,21.258
1756456076.7189188,173,12,30.428
1756456077.1051466,174,2,37.225
1756456077.1051466,174,8,201.384
1756456077.1051466,174,9,88.904
1756456077.1051466,174,11,22.179
1756456077.1051466,174,12,30.178
1756456077.5125587,175,2,38.248
1756456077.5125587,175,8,207.326
1756456077.5125587,175,9,85.089
1756456077.5125587,175,11,24.066
1756456077.5125587,175,12,31.498
1756456077.8901632,176,2,38.574
1756456077.8901632,176,8,210.706
1756456077.8901632,176,9,82.408
1756456077.8901632,176,11,26.293
1756456077.8901632,176,12,32.086
1756456078.2488797,177,2,38.093
1756456078.2488797,177,8,213.169
1756456078.2488797,177,9,81.756
1756456078.2488797,177,11,26.628
1756456078.2488797,177,12,32.727
1756456078.6555054,178,2,38.049
1756456078.6555054,178,8,219.950
1756456078.6555054,178,9,80.100
1756456078.6555054,178,11,26.659
1756456078.6555054,178,12,31.698
1756456078.9842572,179,2,38.478
1756456078.9842572,179,8,224.936
1756456078.9842572,179,9,77.936
1756456078.9842572,179,11,25.948
1756456078.9842572,179,12,31.009
1756456079.3959296,180,2,37.739
1756456079.3959296,180,8,234.593
1756456079.3959296,180,9,76.155
1756456079.3959296,180,11,26.685
1756456079.3959296,180,12,31.696
1756456079.7328045,181,2,36.550
1756456079.7328045,181,8,241.724
1756456079.7328045,181,9,75.438
1756456079.7328045,181,11,27.020
1756456079.7328045,181,12,32.874
1756456080.0774016,182,2,35.421
1756456080.0774016,182,8,248.272
1756456080.0774016,182,9,73.882
1756456080.0774016,182,11,27.268
1756456080.0774016,182,12,32.740
1756456080.3878572,183,2,34.324
1756456080.3878572,183,8,258.007
1756456080.3878572,183,9,70.951
1756456080.3878572,183,11,26.503
1756456080.3878572,183,12,33.297
1756456080.7683303,184,2,34.256
1756456080.7683303,184,8,259.096
1756456080.7683303,184,9,70.924
1756456080.7683303,184,11,25.105
1756456080.7683303,184,12,33.294
1756456081.1275122,185,2,33.754
1756456081.1275122,185,8,266.838
1756456081.1275122,185,9,69.094
1756456081.1275122,185,11,23.851
1756456081.1275122,185,12,33.451
1756456081.4832172,186,2,33.440
1756456081.4832172,186,8,278.372
1756456081.4832172,186,9,69.174
1756456081.4832172,186,11,23.554
1756456081.4832172,186,12,33.336
1756456081.859203,187,2,33.745
1756456081.859203,187,8,291.013
1756456081.8605342,187,9,69.003
1756456081.8605342,187,11,24.115
1756456081.8605342,187,12,33.070
1756456082.2287416,188,2,33.157
1756456082.2287416,188,8,300.189
1756456082.2287416,188,9,67.001
1756456082.2287416,188,11,24.600
1756456082.2287416,188,12,33.657
1756456082.582988,189,2,32.667
1756456082.582988,189,8,308.841
1756456082.582988,189,9,66.612
1756456082.582988,189,11,25.315
1756456082.582988,189,12,35.396
1756456082.9083507,190,2,33.088
1756456082.9083507,190,8,317.434
1756456082.9083507,190,9,65.612
1756456082.9083507,190,11,25.267
1756456082.9083507,190,12,37.342
1756456083.2459984,191,2,33.326
1756456083.2459984,191,8,325.853
1756456083.2459984,191,9,66.131
1756456083.2459984,191,11,24.434
1756456083.2459984,191,12,38.366
1756456083.6839268,192,2,32.671
1756456083.6839268,192,8,330.503
1756456083.6839268,192,9,65.514
1756456083.6839268,192,11,24.759
1756456083.6839268,192,12,38.303
1756456084.1077487,193,2,32.471
1756456084.1077487,193,8,340.492
1756456084.1087477,193,9,64.975
1756456084.1087477,193,11,24.115
1756456084.1087477,193,12,39.071
1756456084.433137,194,2,31.544
1756456084.433137,194,8,350.222
1756456084.433137,194,9,65.357
1756456084.433137,194,11,22.114
1756456084.433137,194,12,39.121
1756456084.802429,195,2,31.955
1756456084.802429,195,8,361.865
1756456084.802429,195,9,63.730
1756456084.802429,195,11,21.435
1756456084.802429,195,12,38.851
1756456085.1990068,196,2,31.815
1756456085.1990068,196,8,380.411
1756456085.1990068,196,9,61.765
1756456085.1990068,196,11,21.708
1756456085.1990068,196,12,38.505
1756456085.5607917,197,2,32.160
1756456085.5627978,197,8,395.777
1756456085.5627978,197,9,61.415
1756456085.5627978,197,11,21.520
1756456085.5627978,197,12,38.702
1756456085.9367821,198,2,30.794
1756456085.9367821,198,8,414.687
1756456085.9367821,198,9,59.526
1756456085.9367821,198,11,21.522
1756456085.9367821,198,12,38.259
1756456086.2959552,199,2,30.049
1756456086.2959552,199,8,427.785
1756456086.2959552,199,9,59.227
1756456086.297119,199,11,20.205
1756456086.297119,199,12,36.013
1756456086.6727204,200,2,29.050
1756456086.6727204,200,8,441.225
1756456086.6727204,200,9,59.172
1756456086.6727204,200,11,18.447
1756456086.6727204,200,12,35.095
1756456087.0555623,201,2,28.045
1756456087.0555623,201,8,458.234
1756456087.0555623,201,9,58.363
1756456087.0555623,201,11,18.829
1756456087.0555623,201,12,35.846
1756456087.3749497,202,2,27.731
1756456087.3749497,202,8,480.894
1756456087.3749497,202,9,57.930
1756456087.3749497,202,11,19.225
1756456087.3749497,202,12,35.638
1756456087.813349,203,2,26.830
1756456087.813349,203,8,502.859
1756456087.813349,203,9,57.791
1756456087.813349,203,11,20.929
1756456087.813349,203,12,37.975
1756456088.167614,204,2,26.280
1756456088.167614,204,8,521.375
1756456088.167614,204,9,57.385
1756456088.167614,204,11,21.992
1756456088.167614,204,12,40.143
1756456088.4991586,205,2,26.020
1756456088.4991586,205,8,539.445
1756456088.4991586,205,9,56.454
1756456088.4991586,205,11,21.393
1756456088.4991586,205,12,40.511
1756456088.8543873,206,2,26.627
1756456088.8543873,206,8,560.543
1756456088.8543873,206,9,55.061
1756456088.8543873,206,11,20.718
1756456088.8543873,206,12,41.237
1756456089.1766186,207,2,28.725
1756456089.1766186,207,8,584.911
1756456089.1766186,207,9,55.021
1756456089.1766186,207,11,22.079
1756456089.1766186,207,12,42.253
1756456089.528092,208,2,29.553
1756456089.528092,208,8,624.410
1756456089.528092,208,9,53.658
